Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,ID,Home Ownership_Have Mortgage,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10
711094,10,0,12,19,533808,0,14,0,1,0,155782,262314,13807,740,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,9,18,186494,0,6,0,1,0,357918,72808,22352,0,1,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
612750,7,0,8,14,225016,1,14,1,1,0,99999999,147687,6128,719,0,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1289796,10,0,11,20,845548,0,14,0,1,1,99999999,640433,26549,708,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1526840,10,0,19,25,1303082,0,14,0,1,0,265188,495178,28247,726,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,0,0,13,21,101464,0,11,0,0,0,79464,60287,14003,0,1,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1899050,3,0,6,10,802692,0,14,0,0,0,43978,550430,21839,722,0,34,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,0,0,9,31,1457104,0,32,0,0,0,155474,254201,7020,0,0,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,6,0,8,14,409222,0,14,0,0,1,667458,206758,18846,0,1,36,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1168386,5,0,13,18,608652,0,14,0,1,0,122936,221825,10806,0,1,37,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1395645,6,0,15,17,1480182,0,75,0,1,0,120670,58805,10200,750,0,38,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
852017,7,3,12,7,337722,3,14,0,1,0,175384,160417,21868,727,1,39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
709821,10,0,13,23,339724,0,65,0,1,1,246004,198341,14670,670,1,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1350349,10,0,20,15,763422,0,10,0,1,0,241230,306584,9014,721,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,4,0,22,10,625042,0,28,0,1,1,326810,300675,13844,0,1,42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1168386,10,0,10,9,348678,0,14,0,1,0,191136,165927,12031,0,1,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1334256,10,0,17,15,380052288,1,35,0,0,0,33110,656450,34357,729,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,10,21,1104554,1,14,1,1,1,774092,595251,28897,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1721457,10,0,6,27,263604,0,6,0,1,0,99999999,121353,23527,723,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,5,0,18,18,1447468,0,14,0,1,0,215490,612541,24039,0,0,47,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1168386,8,0,14,18,252670,0,29,0,0,1,323796,94696,25005,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1168386,5,0,8,17,181742,0,13,0,1,0,355344,108300,19012,0,1,49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
665931,3,0,6,22,279642,0,14,0,1,1,220308,181127,9379,716,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1521672,3,0,12,10,900878,0,14,0,1,0,132154,242744,20416,742,1,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
916560,3,0,8,9,564168,0,14,0,1,0,265320,183198,13137,744,0,52,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2276808,10,0,19,34,1685794,0,8,0,1,1,768922,267881,13889,707,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,7,17,293766,1,71,1,1,0,175516,149948,3767,0,1,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,6,0,7,18,89100,0,13,0,0,1,130328,39235,18351,0,0,55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1520969,10,0,7,19,458590,0,14,0,0,0,468138,2774,12865,748,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
719549,2,0,7,16,37290,1,14,0,1,1,71258,27569,12592,722,1,57,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
992845,10,0,17,21,1132054,0,14,0,1,0,207812,294291,25483,739,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,0,0,9,10,642092,0,14,0,1,0,312026,296685,13006,0,1,59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1630029,10,0,10,17,697114,0,14,0,1,1,230362,260680,6181,714,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
866476,1,0,15,12,239800,0,14,0,1,1,99999999,130891,11770,701,0,61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1670860,6,0,8,16,233420,0,61,0,1,1,333564,122569,23949,705,0,62,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
573762,1,0,7,16,197120,0,54,0,1,0,177166,114741,12671,735,1,63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1168386,0,0,10,15,697642,0,14,0,1,0,156508,398259,28077,0,0,64,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1280125,10,0,8,13,362934,0,14,0,1,0,318582,204991,16428,741,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,11,11,693418,1,14,1,1,0,266398,147915,21461,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1269333,0,0,7,15,235510,0,14,0,1,0,99999999,171874,5183,747,0,67,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2157773,4,0,10,22,660374,0,13,0,1,0,482152,494475,39559,743,0,68,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1408527,2,0,12,17,700062,0,21,0,0,1,525998,174135,9320,647,1,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
613966,6,0,5,16,96998,0,14,0,0,0,148632,29982,6498,744,0,70,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1168386,10,0,8,13,797874,0,14,0,1,0,308616,360392,35030,0,0,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1140000,10,0,9,16,778448,0,14,0,1,1,462000,414808,19950,725,0,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1631644,8,0,9,12,862422,0,14,0,0,0,351670,155667,4773,718,1,73,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1435127,0,0,10,21,1643906,0,68,0,1,1,443124,782268,28487,674,0,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1168386,10,0,17,32,2322650,0,14,0,0,0,448184,136401,29320,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
808298,5,0,12,15,632170,0,14,0,1,0,99999999,251693,8622,746,0,76,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1164852,3,0,19,12,276540,0,14,0,1,0,175340,92663,12134,729,1,77,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,1,0,7,9,415250,0,14,0,1,0,174438,185402,7735,0,0,78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
985815,8,0,11,18,227876,3,51,3,1,0,108504,104899,10351,729,1,79,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1168386,10,0,6,36,263934,0,70,0,1,1,111848,60173,16918,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1112298,0,0,7,9,81598,0,14,0,0,0,128788,42921,15906,704,1,81,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1001357,6,0,6,16,655292,0,14,0,1,0,109384,294291,16606,745,0,82,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1860290,3,0,18,16,1120218,0,14,0,0,0,116314,697528,49298,749,0,83,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2539103,6,0,13,17,1211430,0,14,0,1,0,381106,636101,51205,742,0,84,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1301614,9,0,17,18,9339924,0,14,0,1,0,592240,959899,16813,748,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1934884,5,0,9,18,769604,0,51,0,1,0,390258,429381,19188,745,0,86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1533566,7,0,11,14,715462,0,19,0,1,0,210826,285475,18147,744,1,87,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1375068,10,0,18,32,2672516,0,22,0,1,1,741774,678585,17991,729,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1041675,10,0,13,19,551320,0,16,0,1,0,100144,167599,12648,737,0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1304141,10,0,6,12,132418,1,14,1,0,0,176616,97546,14237,673,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
601369,10,0,6,16,0,0,14,0,1,0,165924,0,9021,738,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1642075,10,0,12,12,384736,0,14,0,1,0,276562,275462,25863,653,0,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,18,17,3028014,0,14,0,1,0,311168,2327443,55716,0,0,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1049294,3,0,5,6,249810,0,14,0,0,0,337502,119529,15215,701,1,94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
805828,9,0,8,20,657360,0,38,0,1,0,199936,250933,13565,740,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
757568,5,0,13,11,383548,0,14,0,1,0,210518,276583,11553,732,1,96,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
840541,6,0,6,14,427372,0,14,0,0,0,99999999,1102,483,751,0,97,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1242087,10,0,17,20,613954,1,36,1,1,0,196130,181336,16251,711,1,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,1,0,9,8,61358,0,14,0,0,0,32824,14041,7879,0,1,99,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
337079,1,0,9,39,644204,0,0,0,0,0,99999999,224770,4326,734,0,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
960260,10,0,10,16,796312,0,34,0,0,1,333564,320473,16645,617,0,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
708624,9,0,7,8,576378,0,14,0,1,0,299376,210064,6555,730,0,102,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1510538,10,0,7,18,593472,0,14,0,1,1,405944,432060,19511,724,0,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1194834,3,0,10,31,520740,0,30,0,1,0,99999999,332804,12148,747,0,104,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,1,0,16,17,1158630,0,71,0,0,0,343772,218139,5996,0,0,105,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2454933,10,0,10,22,531454,0,3,0,1,0,437316,383249,50122,730,0,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,3,0,14,11,300740,0,73,0,1,0,90178,157149,14324,0,0,107,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1390306,10,0,7,23,351516,0,52,0,0,0,99999999,10925,9755,744,0,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2831190,3,0,11,16,518188,0,14,0,1,0,393382,362938,26188,741,0,109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1131545,3,0,14,14,602954,0,44,0,1,1,99999999,216106,12258,734,0,110,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,2,0,9,13,259842,0,14,0,1,0,151514,160455,13511,0,0,111,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1530640,10,0,14,18,283448,2,61,2,1,0,243694,194598,15306,740,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
902918,10,0,13,15,329252,0,72,0,1,0,222442,31559,9706,738,0,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1030579,0,0,11,8,141020,0,14,0,0,1,379698,95247,10478,624,1,114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2041094,3,0,19,16,1034616,0,14,0,1,0,644556,455696,46945,736,0,115,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1039984,10,0,10,23,147950,0,63,0,1,0,224246,95456,13780,739,1,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1350083,5,0,10,12,325490,0,14,0,1,1,223322,168663,15076,724,0,117,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1637629,10,0,9,17,372878,0,14,0,1,0,460438,285323,24974,724,0,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
566409,3,0,12,6,288772,0,14,0,0,0,109318,82308,11611,667,0,119,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,5,0,8,6,405284,0,23,0,1,0,182336,158555,21091,0,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
405346,2,0,10,9,251900,0,5,0,1,0,99999999,41762,7600,746,0,121,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1217349,0,0,10,16,366498,0,60,0,1,0,325292,298490,25361,707,0,122,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
494798,6,0,9,10,330176,0,17,0,1,0,176286,124602,6968,694,1,123,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2379047,10,0,11,21,1046694,0,14,0,1,1,749276,854240,25376,679,0,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1004207,6,0,10,14,380248,1,14,1,1,0,99999999,139897,12218,726,0,125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2334150,2,0,14,17,1467620,0,14,0,1,0,648648,996246,42987,708,0,126,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1933573,4,0,9,20,847990,0,14,0,1,0,545336,186751,12214,748,0,127,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1242657,10,0,15,13,697004,0,59,0,1,1,221364,164331,12841,732,0,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1191015,3,0,15,22,1392116,0,14,0,1,0,497992,660041,22629,739,0,129,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1168386,10,0,8,33,651794,0,13,0,0,0,108218,401356,15390,0,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
753464,0,0,12,14,516692,0,14,0,1,0,133056,319504,10862,740,0,131,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1594176,10,0,8,18,909018,0,14,0,0,1,434324,372115,6509,735,1,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1878910,10,0,17,21,4477858,0,1,0,1,0,326348,1009356,16441,693,0,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
564300,10,0,14,19,349844,1,13,1,1,1,326700,58007,15001,668,1,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,9,0,11,14,296692,0,74,0,0,0,110792,187321,19964,0,0,135,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1219724,10,0,7,18,385242,0,17,0,0,1,78628,159695,17971,723,1,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3694037,10,0,6,23,935814,0,4,0,1,0,137566,661922,23642,724,1,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1682298,3,0,5,12,445984,0,14,0,1,0,151514,223782,7388,748,0,138,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,4,0,10,15,209220,0,8,0,1,0,337502,103360,18460,0,0,139,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
968924,10,0,12,21,196460,0,35,0,1,0,128370,88236,10497,725,1,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,8,19,359084,0,72,0,1,0,328482,142329,26793,0,0,141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
606062,8,0,11,27,235620,2,14,2,1,0,116226,105811,11566,731,0,142,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1168386,10,0,6,20,249392,0,14,0,1,0,331056,152285,10321,0,1,143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,16,20,612216,0,42,0,1,1,412852,378062,25810,0,1,144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1534478,4,0,14,15,539220,0,14,0,1,0,325028,321784,17391,748,0,145,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
700625,10,0,11,20,414502,1,68,1,1,0,99999999,156427,3912,738,0,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1576791,1,0,6,9,448954,0,39,0,0,0,99999999,94221,11524,748,0,147,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2676758,10,0,17,7,1387606,0,13,0,1,0,99999999,293607,19183,737,0,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
395124,9,0,16,16,561462,0,21,0,1,0,143792,207537,9582,701,1,149,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1168386,10,0,12,16,362032,1,14,1,1,0,430980,229482,15794,0,0,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1440257,4,0,7,16,1286186,0,14,0,0,0,99999999,242155,2953,746,0,151,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1026817,10,0,19,20,957550,0,14,0,1,1,345884,619419,18055,714,1,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
749816,9,0,7,14,329890,0,14,0,0,0,325578,207138,12934,747,1,153,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1168386,3,0,12,13,271700,0,14,0,1,0,307230,99484,3454,0,0,154,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
918384,10,0,10,33,763906,0,11,0,1,0,212674,502075,14388,744,0,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1988825,10,0,4,14,730466,0,41,0,1,0,614086,383553,6911,737,0,156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2421835,3,1,2,23,754160,1,14,0,1,0,232958,120498,3713,749,0,157,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
901588,0,0,5,16,131230,0,55,0,1,1,266904,88407,7566,661,1,158,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,4,0,10,20,1417042,0,17,0,1,0,440308,671878,33841,0,0,159,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
756276,2,0,5,16,525778,0,14,0,0,1,99999999,53580,1683,739,0,160,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
681435,0,0,8,18,261602,0,67,0,1,0,169070,127870,4594,742,0,161,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2131591,0,0,15,31,4191176,0,14,0,1,0,269258,3547262,20783,728,0,162,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
735528,4,0,11,14,546920,0,14,0,1,0,99999999,403845,15201,714,0,163,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2899305,10,0,15,16,667480,0,14,0,1,1,783332,328016,64751,709,0,164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1951319,4,0,7,18,601766,0,14,0,0,0,327888,220875,13936,736,0,165,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4580976,4,0,18,25,1553530,0,14,0,1,1,99999999,633289,94674,727,0,166,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1808800,5,0,7,23,522104,1,61,1,1,1,436524,257013,19897,717,0,167,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2379522,2,0,23,17,1267530,0,37,0,1,0,99999999,839629,39064,743,0,168,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2334226,10,0,13,31,2170894,0,14,0,1,0,465234,628083,30150,750,0,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
664810,10,0,11,21,393162,1,14,1,1,0,99999999,117477,5651,741,0,170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
848426,10,0,10,17,274934,0,14,0,1,0,151184,163362,13221,718,1,171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1197323,3,0,17,12,671176,0,14,0,1,0,290686,213902,17660,748,0,172,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1501855,10,0,8,14,372196,0,8,0,1,1,535084,132430,28285,678,0,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
708491,1,0,16,19,559020,0,21,0,1,0,326524,438862,20960,709,1,174,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1281455,5,0,9,20,552662,0,14,0,1,1,541530,368486,26056,675,0,175,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
833416,10,0,7,9,237138,0,59,0,1,0,61402,58159,3091,667,0,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,16,24,824428,0,14,0,1,0,264264,317566,25942,0,0,177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
696863,7,0,7,7,652762,0,14,0,0,0,87406,187169,9872,718,0,178,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1094837,10,0,9,39,611754,0,14,0,1,0,134420,230356,17700,743,0,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2356475,10,0,11,34,465124,0,14,0,1,0,523886,272745,32009,700,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,3,0,17,20,1824306,0,47,0,1,1,626538,967385,63515,0,0,181,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
597075,2,0,12,4,943360,0,14,0,1,0,144958,97774,3060,737,0,182,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1168386,0,0,9,9,101442,0,3,0,0,0,40546,51585,4553,0,1,183,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1770895,10,0,19,10,1115114,0,14,0,1,0,264572,471903,24350,741,0,184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010960,10,1,7,23,180488,1,40,0,0,0,646800,13870,17763,743,0,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1325345,0,0,16,9,980342,0,14,0,1,1,438460,536788,24850,645,0,186,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,3,0,24,20,2940916,0,14,0,1,1,260414,985473,40120,0,0,187,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2657074,7,0,16,32,1630618,0,14,0,1,0,615318,1080131,42513,747,1,188,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1863311,10,1,17,17,948420,2,14,1,1,1,653796,674937,42856,683,1,189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1857554,7,0,24,19,707630,0,14,0,1,0,322630,400900,26470,742,0,190,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
479940,5,0,23,10,450626,0,14,0,1,0,114488,101574,10799,697,1,191,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
